name,path,size,file_or_dir
6da9c639b3041b38e34f7a067db5994eeee2f3,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\17,188,file
9cf73de2a886db7ad265987051aa9d0147dc6a,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\17,347,file
58df4cdfb1b689da5bd5245ae85efb976f8c94,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\19,152,file
151ba70cb9a7879e4f15afa13eede073a9dc64,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\1b,387,file
cd8e9ff287a667fa6a378bfbe6f1b3107cfed8,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\1c,142,file
dd3317b044bdb2a99b2c6519bc6b7c9d655649,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\1f,162,file
0a66118aef6d5decec2942da849b2262554c83,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\22,110,file
91f80353249331050214c5ff76c6ca3d451696,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\22,80,file
1521b92b10df1e730b109e3c0a843cac84218d,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\24,188,file
2e871546e59cfb0a755f369a2f225954bdda6a,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\24,325,file
d33521af10bcc7fd8cea344038eaaeb78d0ef5,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\26,63,file
7626ea131b7fe77220bbb5d2196001a036a63b,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\27,1130,file
402be6624c478dd811ab5f5a1ba5199fe71e92,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\28,413,file
1eb922be637225ca538d4cebb371b0c8ededef,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\29,109,file
2cac5a6cf8272a9ba5a2491d6690d65e323575,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\29,79,file
